id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	65	65	0	65	0	0
3	0	258	258	324	62	4	66	0	0
2	0	159	159	482	235	46	323	42	0
5	0	479	482	582	70	14	103	19	3
4	0	350	391	642	91	103	292	98	41
8	0	1330	1332	1362	30	0	32	2	2
7	0	1224	1285	1364	49	18	140	73	61
12	0	1781	1790	2160	183	41	379	155	9
6	0	1123	1123	2277	353	121	1154	680	0
13	0	2326	2344	2507	86	15	181	80	18
15	0	2790	2792	2891	99	0	101	2	2
17	0	2862	2892	3144	94	23	282	165	30
11	0	1677	1711	3283	420	98	1606	1088	34
10	0	1626	1631	3412	386	110	1786	1290	5
18	0	3098	3144	3469	168	42	371	161	46
16	0	2792	2891	3521	138	36	729	555	99
23	0	3750	3963	4379	95	13	629	521	213
24	0	3791	3962	4513	92	52	722	578	171
28	0	4567	4617	4758	121	9	191	61	50
27	0	4517	4591	4806	64	14	289	211	74
22	0	3634	3652	4980	220	14	1346	1112	18
30	0	5029	5066	5142	24	48	113	41	37
25	0	4083	4196	5417	284	65	1334	985	113
20	0	3548	3899	5461	248	164	1913	1501	351
26	0	4510	4513	5638	191	60	1128	877	3
9	0	1387	1409	5749	288	72	4362	4002	22
31	0	5558	5567	5831	138	9	273	126	9
19	0	3528	3650	6089	327	77	2561	2157	122
33	0	5860	5932	6128	67	15	268	186	72
14	0	2550	2583	6282	326	20	3732	3386	33
32	0	5815	5831	6306	228	22	491	241	16
29	0	5011	5029	6323	283	19	1312	1010	18
21	0	3621	3720	6440	269	82	2819	2468	99
34	0	6431	6440	6494	47	7	63	9	9
35	0	6524	6524	6595	31	24	71	16	0
37	0	6578	6595	6641	12	11	63	40	17
36	0	6537	6537	6741	174	19	204	11	0
38	0	7006	7006	7333	146	58	327	123	0
39	0	7124	7135	7385	179	11	261	71	11
40	0	7328	7333	7506	95	78	178	5	5
47	0	8059	8261	8508	56	21	449	372	202
43	0	7787	7822	8767	120	98	980	762	35
42	0	7601	7751	8801	105	23	1200	1072	150
50	0	8147	8229	8807	94	170	660	396	82
46	0	8034	8151	8826	98	99	792	595	117
49	0	8094	8159	8887	169	52	793	572	65
48	0	8091	8276	9135	187	1	1044	856	185
44	0	7837	7973	9168	170	3	1331	1158	136
45	0	7944	8110	9238	287	70	1294	937	166
41	0	7530	7530	9487	471	213	1957	1273	0
0	0	0	0	9487	1252	0	9487	8235	0
