id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	26	26	0	26	0	0
2	0	159	159	300	95	46	141	0	0
3	0	258	260	321	25	4	63	34	2
4	0	350	350	490	37	103	140	0	0
5	0	479	490	532	28	14	53	11	11
7	0	1224	1224	1262	20	18	38	0	0
8	0	1330	1340	1352	12	0	22	10	10
6	0	1123	1123	1386	142	121	263	0	0
9	0	1387	1387	1576	117	72	189	0	0
12	0	1781	1784	1955	74	41	174	59	3
10	0	1626	1626	2017	155	110	391	126	0
11	0	1677	1701	2090	171	98	413	144	24
13	0	2326	2326	2376	35	15	50	0	0
14	0	2550	2550	2702	132	20	152	0	0
15	0	2790	2790	2830	40	0	40	0	0
16	0	2792	2830	2922	56	36	130	38	38
17	0	2862	2878	2949	39	23	87	25	16
18	0	3098	3098	3208	68	42	110	0	0
23	0	3750	3753	3831	39	13	81	29	3
19	0	3528	3528	3934	132	77	406	197	0
21	0	3621	3625	3960	109	82	339	148	4
22	0	3634	3697	4014	90	14	380	276	63
20	0	3548	3583	4052	101	164	504	239	35
24	0	3791	3809	4059	38	52	268	178	18
25	0	4083	4083	4263	115	65	180	0	0
27	0	4517	4541	4600	26	14	83	43	24
28	0	4567	4583	4647	49	9	80	22	16
26	0	4510	4510	4699	77	60	189	52	0
30	0	5029	5029	5135	10	48	106	48	0
29	0	5011	5011	5149	114	19	138	5	0
31	0	5558	5558	5623	56	9	65	0	0
32	0	5815	5815	5929	92	22	114	0	0
33	0	5860	5899	5945	28	15	85	42	39
34	0	6431	6431	6457	19	7	26	0	0
35	0	6524	6524	6560	12	24	36	0	0
36	0	6537	6537	6626	70	19	89	0	0
37	0	6578	6582	6628	5	11	50	34	4
38	0	7006	7006	7123	59	58	117	0	0
39	0	7124	7124	7208	73	11	84	0	0
40	0	7328	7328	7445	39	78	117	0	0
42	0	7601	7619	7719	43	23	118	52	18
44	0	7837	7840	7928	68	3	91	20	3
43	0	7787	7787	7971	49	98	184	37	0
41	0	7530	7530	8021	191	213	491	87	0
47	0	8059	8097	8217	23	21	158	114	38
48	0	8091	8131	8281	75	1	190	114	40
46	0	8034	8034	8308	40	99	274	135	0
49	0	8094	8103	8333	68	52	239	119	9
45	0	7944	7944	8342	117	70	398	211	0
50	0	8147	8166	8423	40	170	276	66	19
0	0	0	0	8423	5084	0	8423	3339	0
