id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	37	10	27	37	0	0
2	0	161	161	167	6	0	6	0	0
5	2	354	354	434	36	32	80	12	0
6	0	438	444	451	7	0	13	6	6
7	0	528	534	536	2	0	8	6	6
8	0	530	536	563	4	13	33	16	6
9	2	641	641	713	34	37	72	1	0
4	5	345	345	731	96	228	386	62	0
3	17	178	178	781	221	292	603	90	0
10	0	1039	1039	1046	7	0	7	0	0
11	3	1062	1062	1265	79	124	203	0	0
13	1	1864	1864	1876	12	0	12	0	0
14	2	1985	1985	2087	47	49	102	6	0
15	3	1988	1988	2103	46	54	115	15	0
12	7	1378	1378	2146	140	578	768	50	0
16	0	2449	2449	2461	7	5	12	0	0
18	1	2539	2539	2598	25	34	59	0	0
17	0	2487	2487	2612	20	105	125	0	0
19	0	2628	2628	2644	6	10	16	0	0
20	2	2663	2663	2748	43	42	85	0	0
21	0	2761	2761	2783	12	10	22	0	0
22	0	2864	2864	2865	1	0	1	0	0
23	0	2913	2913	2918	5	0	5	0	0
24	0	3009	3009	3011	2	0	2	0	0
25	2	3108	3108	3160	39	13	52	0	0
26	1	3351	3351	3375	18	6	24	0	0
27	2	3447	3447	3470	23	0	23	0	0
28	2	3558	3558	3640	40	42	82	0	0
29	0	3644	3644	3671	11	16	27	0	0
30	4	3742	3742	3959	91	126	217	0	0
31	2	3928	3928	4011	29	54	83	0	0
33	1	4367	4368	4475	28	60	108	20	1
32	3	4271	4271	4564	92	161	293	40	0
36	4	4676	4676	4796	61	24	120	35	0
37	1	4732	4732	4807	28	47	75	0	0
34	4	4394	4398	4824	98	288	430	44	4
35	5	4602	4604	4951	95	203	349	51	2
38	0	4866	4866	5051	22	147	185	16	0
39	5	4949	4951	5166	98	93	217	26	2
40	1	5041	5048	5167	27	77	126	22	7
42	1	5428	5433	5458	21	4	30	5	5
41	3	5413	5413	5511	41	52	98	5	0
44	1	5541	5541	5630	25	60	89	4	0
45	0	5631	5633	5645	10	2	14	2	2
43	4	5454	5458	5710	83	148	256	25	4
46	1	5682	5685	5829	24	115	147	8	3
47	0	5752	5760	5857	18	79	105	8	8
48	1	5865	5865	5884	19	0	19	0	0
49	2	5947	5947	6027	33	32	80	15	0
50	2	5974	5983	6068	42	40	94	12	9
0	0	0	0	6068	4084	0	6068	1984	0
