id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	4	0	0	37	10	27	37	0	0
2	2	161	161	167	6	0	6	0	0
5	16	354	354	432	36	32	78	10	0
6	3	438	438	445	7	0	7	0	0
7	0	528	528	530	2	0	2	0	0
8	1	530	532	549	4	13	19	2	2
9	16	641	641	712	34	37	71	0	0
4	38	345	345	714	96	228	369	45	0
3	101	178	178	796	221	292	618	105	0
10	3	1039	1039	1046	7	0	7	0	0
11	34	1062	1062	1265	79	124	203	0	0
13	5	1864	1864	1876	12	0	12	0	0
14	20	1985	1985	2091	47	49	106	10	0
15	21	1988	1988	2099	46	54	111	11	0
12	59	1378	1378	2146	140	578	768	50	0
16	2	2449	2449	2461	7	5	12	0	0
18	11	2539	2539	2598	25	34	59	0	0
17	8	2487	2487	2612	20	105	125	0	0
19	2	2628	2628	2644	6	10	16	0	0
20	18	2663	2663	2748	43	42	85	0	0
21	5	2761	2761	2783	12	10	22	0	0
22	0	2864	2864	2865	1	0	1	0	0
23	2	2913	2913	2918	5	0	5	0	0
24	0	3009	3009	3011	2	0	2	0	0
25	17	3108	3108	3160	39	13	52	0	0
26	7	3351	3351	3375	18	6	24	0	0
27	11	3447	3447	3470	23	0	23	0	0
28	17	3558	3558	3640	40	42	82	0	0
29	4	3644	3644	3671	11	16	27	0	0
30	40	3742	3742	3959	91	126	217	0	0
31	13	3928	3928	4011	29	54	83	0	0
33	10	4367	4368	4472	28	60	105	17	1
32	36	4271	4271	4567	92	161	296	43	0
36	29	4676	4676	4796	61	24	120	35	0
37	12	4732	4733	4809	28	47	77	2	1
34	41	4394	4394	4823	98	288	429	43	0
35	41	4602	4602	4927	95	203	325	27	0
38	5	4866	4867	5038	22	147	172	3	1
40	10	5041	5041	5146	27	77	105	1	0
39	40	4949	4949	5162	98	93	213	22	0
42	9	5428	5429	5454	21	4	26	1	1
41	18	5413	5413	5533	41	52	120	27	0
44	9	5541	5541	5626	25	60	85	0	0
45	4	5631	5631	5643	10	2	12	0	0
43	37	5454	5455	5708	83	148	254	23	1
46	9	5682	5683	5827	24	115	145	6	1
47	6	5752	5752	5849	18	79	97	0	0
48	9	5865	5865	5884	19	0	19	0	0
49	12	5947	5947	6031	33	32	84	19	0
50	17	5974	5975	6072	42	40	98	16	1
0	0	0	0	6072	4088	0	6072	1984	0
