id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	217	188	20	217	9	0
8	0	448	469	534	65	0	86	21	21
5	0	320	534	573	39	0	253	214	214
7	0	403	459	633	70	58	230	102	56
6	0	329	406	640	58	5	311	248	77
3	0	109	137	801	69	23	692	600	28
9	0	672	733	903	124	10	231	97	61
11	0	950	988	1013	25	0	63	38	38
10	0	857	903	1264	176	19	407	212	46
12	0	995	1013	1402	149	9	407	249	18
2	0	64	88	1491	175	74	1427	1178	24
4	0	236	345	1654	380	142	1418	896	109
14	0	1651	1654	1773	111	6	122	5	3
15	0	1694	1714	1943	157	28	249	64	20
16	0	1744	1773	2085	135	87	341	119	29
13	0	1490	1491	2304	269	33	814	512	1
17	0	1950	1959	2459	64	54	509	391	9
19	0	2167	2184	2566	160	23	399	216	17
18	0	2104	2112	2706	249	127	602	226	8
20	0	2741	2741	2851	99	11	110	0	0
23	0	3248	3451	3525	74	0	277	203	203
25	0	3275	3525	3579	54	0	304	250	250
24	0	3257	3364	3644	116	55	387	216	107
26	0	3524	3579	3847	139	46	323	138	55
28	0	3886	4088	4285	94	10	399	295	202
22	0	3155	3263	4483	254	84	1328	990	108
30	0	4057	4111	4558	145	1	501	355	54
21	0	2960	2960	4593	319	34	1633	1280	0
29	0	3995	4181	4608	238	25	613	350	186
31	0	4649	4719	4730	11	0	81	70	70
32	0	4661	4927	4988	61	0	327	266	266
40	0	5474	5667	5855	188	0	381	193	193
34	0	4727	4876	5948	82	18	1221	1121	149
38	0	5116	5158	5982	87	43	866	736	42
36	0	4778	4988	6042	105	76	1264	1083	210
42	0	5948	5982	6384	113	35	436	288	34
27	0	3856	3885	6581	495	82	2725	2148	29
43	0	6565	6581	6601	18	1	36	17	16
33	0	4687	4730	6757	286	15	2070	1769	43
45	0	6813	6819	6826	7	0	13	6	6
44	0	6719	6757	6867	52	17	148	79	38
41	0	5659	5855	6981	187	325	1322	810	196
46	0	6909	6924	7036	40	67	127	20	15
37	0	4884	5007	7318	218	58	2434	2158	123
47	0	7029	7036	7507	148	15	478	315	7
49	0	7345	7412	7509	25	18	164	121	67
39	0	5237	5354	7664	340	46	2427	2041	117
50	0	7685	7725	7841	81	5	156	70	40
48	0	7163	7243	8028	302	129	865	434	80
35	0	4744	5011	8049	774	250	3305	2281	267
0	0	0	0	8049	234	0	8049	7815	0
