id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	92	48	44	92	0	0
3	0	398	400	657	123	134	259	2	2
6	0	1087	1151	1369	36	152	282	94	64
5	0	1043	1062	1450	138	98	407	171	19
4	0	773	773	1578	210	379	805	216	0
9	0	1622	1628	1750	81	14	128	33	6
2	0	297	297	1780	344	990	1483	149	0
10	0	1702	1750	1900	44	46	198	108	48
12	0	2034	2034	2095	24	28	61	9	0
7	0	1138	1157	2542	185	859	1404	360	19
13	0	2134	2136	2795	157	288	661	216	2
22	0	3005	3006	3052	46	0	47	1	1
23	0	3107	3138	3343	109	68	236	59	31
17	0	2369	2423	3498	111	435	1129	583	54
30	0	3906	3930	3937	7	0	31	24	24
33	0	3957	3961	3975	14	0	18	4	4
28	0	3748	3783	4139	43	186	391	162	35
29	0	3844	3857	4264	38	169	420	213	13
36	0	4438	4439	4540	101	0	102	1	1
43	0	4737	4814	4861	47	0	124	77	77
47	0	5088	5105	5115	10	0	27	17	17
41	0	4675	4686	5713	121	260	1038	657	11
37	0	4463	4540	5988	76	158	1525	1291	77
32	0	3948	3975	6208	172	309	2260	1779	27
49	0	5738	5798	6225	50	70	487	367	60
39	0	4588	4594	6456	153	186	1868	1529	6
25	0	3193	3198	6552	117	452	3359	2790	5
35	0	4361	4386	6883	195	417	2522	1910	25
38	0	4569	4572	6987	170	353	2418	1895	3
42	0	4734	4756	7062	87	34	2328	2207	22
21	0	2892	2912	7668	138	360	4776	4278	20
11	0	1833	1841	7680	504	1169	5847	4174	8
46	0	5000	5001	7777	154	88	2777	2535	1
24	0	3150	3163	7783	138	469	4633	4026	13
8	0	1435	1450	7852	392	804	6417	5221	15
19	0	2655	2686	7954	126	191	5299	4982	31
18	0	2389	2433	7962	449	1580	5573	3544	44
16	0	2301	2304	8056	412	1356	5755	3987	3
34	0	3978	3995	8078	208	277	4100	3615	17
20	0	2770	2795	8088	179	518	5318	4621	25
31	0	3942	3960	8204	317	785	4262	3160	18
45	0	4837	4863	8452	178	156	3615	3281	26
15	0	2220	2220	8651	158	326	6431	5947	0
14	0	2150	2151	8712	194	402	6562	5966	1
48	0	5639	5640	8748	222	140	3109	2747	1
26	0	3225	3242	8905	365	733	5680	4582	17
50	0	6018	6079	9268	525	1036	3250	1689	61
27	0	3433	3434	9509	438	494	6076	5144	1
40	0	4599	4603	9541	250	1180	4942	3512	4
0	0	0	0	10048	1145	0	10048	8903	0
