id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	7	0	0	39	39	0	39	0	0
3	7	258	260	302	37	4	44	3	2
2	27	159	159	389	142	46	230	42	0
5	7	479	482	546	42	14	67	11	3
4	9	350	353	554	56	103	204	45	3
7	5	1224	1224	1275	31	18	51	2	0
8	3	1330	1330	1348	18	0	18	0	0
6	40	1123	1123	1628	212	121	505	172	0
9	31	1387	1387	1841	175	72	454	207	0
12	20	1781	1783	1990	110	41	209	58	2
10	42	1626	1628	2226	233	110	600	257	2
11	41	1677	1681	2241	255	98	564	211	4
13	8	2326	2326	2393	52	15	67	0	0
14	37	2550	2550	2766	196	20	216	0	0
17	10	2862	2866	2954	57	23	92	12	4
15	11	2790	2790	2959	60	0	169	109	0
16	16	2792	2795	3003	83	36	211	92	3
18	18	3098	3098	3242	102	42	144	0	0
23	10	3750	3751	3875	57	13	125	55	1
24	8	3791	3792	3906	55	52	115	8	1
22	25	3634	3635	4319	134	14	685	537	1
20	26	3548	3552	4341	149	164	793	480	4
21	31	3621	3625	4411	162	82	790	546	4
25	30	4083	4083	4428	171	65	345	109	0
19	37	3528	3528	4456	197	77	928	654	0
27	7	4517	4520	4627	39	14	110	57	3
28	14	4567	4571	4695	74	9	128	45	4
26	21	4510	4510	4778	116	60	268	92	0
30	2	5029	5031	5095	14	48	66	4	2
29	32	5011	5011	5214	170	19	203	14	0
31	14	5558	5558	5650	83	9	92	0	0
33	7	5860	5860	5916	41	15	56	0	0
32	26	5815	5815	6015	137	22	200	41	0
34	5	6431	6431	6466	28	7	35	0	0
35	3	6524	6524	6568	19	24	44	1	0
37	0	6578	6578	6600	7	11	22	4	0
36	18	6537	6537	6674	104	19	137	14	0
38	16	7006	7006	7223	88	58	217	71	0
39	20	7124	7124	7253	108	11	129	10	0
40	10	7328	7328	7464	58	78	136	0	0
42	11	7601	7605	7693	63	23	92	6	4
43	13	7787	7791	8047	73	98	260	89	4
47	5	8059	8062	8200	34	21	141	86	3
46	10	8034	8036	8346	58	99	312	155	2
50	9	8147	8151	8385	58	170	238	10	4
44	19	7837	7840	8450	103	3	613	507	3
49	19	8094	8096	8462	102	52	368	214	2
48	21	8091	8091	8481	112	1	390	277	0
45	32	7944	7946	8570	174	70	626	382	2
41	53	7530	7530	8799	284	213	1269	772	0
0	0	0	0	8799	3827	0	8799	4972	0
