id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	227	163	64	227	0	0
2	0	257	257	409	143	9	152	0	0
3	0	479	479	483	4	0	4	0	0
4	0	547	547	660	28	52	113	33	0
6	0	587	587	792	116	30	205	59	0
5	0	548	559	801	90	71	253	92	11
7	0	687	756	926	106	52	239	81	69
8	0	1030	1030	1065	35	0	35	0	0
9	0	1152	1152	1264	67	45	112	0	0
11	0	1539	1557	1561	4	0	22	18	18
10	0	1441	1441	1755	156	158	314	0	0
12	0	1676	1676	1938	139	53	262	70	0
13	0	1857	1860	2249	125	75	392	192	3
18	0	2207	2258	2462	108	8	255	139	51
15	0	2033	2089	2628	97	33	595	465	56
20	0	2329	2462	2669	42	27	340	271	133
22	0	2496	2628	2798	38	12	302	252	132
14	0	1880	1880	2821	225	88	941	628	0
24	0	2636	2763	2982	40	8	346	298	127
26	0	2674	2825	3050	38	6	376	332	151
16	0	2056	2150	3075	124	51	1019	844	94
27	0	2721	2891	3115	22	17	394	355	170
21	0	2363	2498	3133	83	98	770	589	135
23	0	2579	2686	3203	147	37	624	440	107
25	0	2663	2821	3269	67	20	606	519	158
29	0	2896	3075	3307	31	34	411	346	179
30	0	3095	3269	3461	97	2	366	267	174
19	0	2241	2348	3548	185	120	1307	1002	107
31	0	3165	3307	3665	55	49	500	396	142
17	0	2195	2257	3711	233	168	1516	1115	62
32	0	3622	3665	3772	15	6	150	129	43
33	0	3635	3711	3810	65	34	175	76	76
34	0	3801	3810	3841	31	0	40	9	9
28	0	2889	3050	3970	81	252	1081	748	161
36	0	3963	3970	3971	1	0	8	7	7
35	0	3942	3942	4040	57	41	98	0	0
37	0	4554	4554	4757	105	92	203	6	0
39	0	4803	4823	4831	8	0	28	20	20
38	0	4711	4711	4997	132	121	286	33	0
42	0	5186	5194	5376	112	44	190	34	8
43	0	5370	5437	5721	42	11	351	298	67
45	0	5644	5744	5752	8	0	108	100	100
46	0	5651	5752	5763	11	0	112	101	101
47	0	5738	5841	5846	5	0	108	103	103
41	0	5037	5068	5879	314	70	842	458	31
44	0	5583	5634	6569	376	106	986	504	51
40	0	4852	4852	6580	630	265	1728	833	0
50	0	6224	6410	6582	8	22	358	328	186
48	0	6100	6178	6738	182	112	638	344	78
49	0	6101	6202	6802	131	122	701	448	101
0	0	0	0	6802	1680	0	6802	5122	0
