id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	75	48	27	75	0	0
3	0	398	399	622	123	83	224	18	1
6	0	1087	1101	1314	36	92	227	99	14
4	0	773	777	1443	210	230	670	230	4
5	0	1043	1046	1469	138	61	426	227	3
2	0	297	297	1490	344	596	1193	253	0
9	0	1622	1622	1810	81	9	188	98	0
10	0	1702	1711	1841	44	27	139	68	9
12	0	2034	2036	2077	24	17	43	2	2
7	0	1138	1148	2145	185	517	1007	305	10
13	0	2134	2139	3320	157	174	1186	855	5
22	0	3005	3043	3555	46	0	550	504	38
15	0	2220	2227	3639	158	197	1419	1064	7
8	0	1435	1443	3641	392	487	2206	1327	8
17	0	2369	2379	3738	111	263	1369	995	10
30	0	3906	3960	4039	7	0	133	126	54
14	0	2150	2155	4056	194	244	1906	1468	5
33	0	3957	4027	4181	14	0	224	210	70
19	0	2655	2686	4248	126	116	1593	1351	31
23	0	3107	3152	4464	109	41	1357	1207	45
28	0	3748	3788	4473	43	112	725	570	40
29	0	3844	3893	4537	38	101	693	554	49
21	0	2892	2926	5106	138	218	2214	1858	34
25	0	3193	3255	5108	117	272	1915	1526	62
47	0	5088	5191	5289	10	0	201	191	103
43	0	4737	4821	5691	47	0	954	907	84
24	0	3150	3185	5721	138	283	2571	2150	35
20	0	2770	2796	5741	179	312	2971	2480	26
37	0	4463	4518	6016	76	96	1553	1381	55
36	0	4438	4496	6238	101	0	1800	1699	58
42	0	4734	4801	6426	87	21	1692	1584	67
49	0	5738	5822	6757	50	42	1019	927	84
41	0	4675	4746	7231	121	157	2556	2278	71
32	0	3948	4012	7241	172	188	3293	2933	64
39	0	4588	4650	7550	153	114	2962	2695	62
34	0	3978	4050	7725	208	168	3747	3371	72
35	0	4361	4429	7900	195	250	3539	3094	68
38	0	4569	4625	7915	170	214	3346	2962	56
46	0	5000	5094	7923	154	53	2923	2716	94
45	0	4837	4925	8169	178	95	3332	3059	88
11	0	1833	1841	8257	504	708	6424	5212	8
16	0	2301	2311	8588	412	818	6287	5057	10
48	0	5639	5726	8631	222	86	2992	2684	87
31	0	3942	4004	8829	317	472	4887	4098	62
26	0	3225	3292	8834	365	443	5609	4801	67
40	0	4599	4666	8868	250	708	4269	3311	67
27	0	3433	3480	9038	438	299	5605	4868	47
18	0	2389	2414	9049	449	954	6660	5257	25
50	0	6018	6103	9808	525	622	3790	2643	85
0	0	0	0	10004	899	0	10004	9105	0
