id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	92	48	44	92	0	0
3	0	398	400	682	123	134	284	27	2
6	0	1087	1090	1332	36	152	245	57	3
5	0	1043	1043	1456	138	98	413	177	0
4	0	773	773	1502	210	379	729	140	0
9	0	1622	1628	1832	81	14	210	115	6
2	0	297	297	1867	344	990	1570	236	0
10	0	1702	1715	1898	44	46	196	106	13
12	0	2034	2038	2125	24	28	91	39	4
7	0	1138	1145	2491	185	859	1353	309	7
13	0	2134	2134	3337	157	288	1203	758	0
22	0	3005	3046	3492	46	0	487	441	41
15	0	2220	2220	3536	158	326	1316	832	0
17	0	2369	2374	3795	111	435	1426	880	5
30	0	3906	3962	4036	7	0	130	123	56
19	0	2655	2678	4162	126	191	1507	1190	23
33	0	3957	4027	4177	14	0	220	206	70
14	0	2150	2164	4303	194	402	2153	1557	14
23	0	3107	3143	4404	109	68	1297	1120	36
28	0	3748	3789	4594	43	186	846	617	41
8	0	1435	1447	4631	392	804	3196	2000	12
29	0	3844	3903	4654	38	169	810	603	59
21	0	2892	2928	5224	138	360	2332	1834	36
47	0	5088	5185	5293	10	0	205	195	97
25	0	3193	3235	5345	117	452	2152	1583	42
43	0	4737	4804	5658	47	0	921	874	67
20	0	2770	2787	5871	179	518	3101	2404	17
24	0	3150	3183	5919	138	469	2769	2162	33
37	0	4463	4537	6124	76	158	1661	1427	74
36	0	4438	4497	6274	101	0	1836	1735	59
42	0	4734	4799	6398	87	34	1664	1543	65
49	0	5738	5815	6756	50	70	1018	898	77
41	0	4675	4744	7285	121	260	2610	2229	69
32	0	3948	4017	7361	172	309	3413	2932	69
39	0	4588	4651	7530	153	186	2942	2603	63
34	0	3978	4046	7786	208	277	3808	3323	68
46	0	5000	5088	7892	154	88	2892	2650	88
38	0	4569	4631	7927	170	353	3358	2835	62
35	0	4361	4408	7974	195	417	3613	3001	47
45	0	4837	4917	8155	178	156	3318	2984	80
11	0	1833	1847	8497	504	1169	6664	4991	14
48	0	5639	5722	8609	222	140	2970	2608	83
16	0	2301	2301	8651	412	1356	6350	4582	0
31	0	3942	4006	8947	317	785	5005	3903	64
26	0	3225	3278	8957	365	733	5732	4634	53
40	0	4599	4654	9017	250	1180	4418	2988	55
27	0	3433	3486	9103	438	494	5670	4738	53
18	0	2389	2404	9316	449	1580	6927	4898	15
0	0	0	0	10003	1117	0	10003	8886	0
