id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	0	457	490	957	50	109	500	341	33
8	0	405	427	965	68	89	560	403	22
10	0	907	948	1365	38	107	458	313	41
7	0	350	361	1668	152	118	1318	1048	11
13	0	1289	1328	1823	31	67	534	436	39
2	0	39	39	2244	268	338	2205	1599	0
6	0	312	322	2363	176	295	2051	1580	10
1	0	0	0	2682	306	470	2682	1906	0
5	0	257	264	2714	203	450	2457	1804	7
24	0	2705	2759	2893	12	4	188	172	54
4	0	208	209	3024	237	363	2816	2216	1
11	0	969	998	3808	202	202	2839	2435	29
23	0	2645	2692	3858	66	113	1213	1034	47
20	0	1675	1729	3989	115	477	2314	1722	54
22	0	2591	2650	4077	81	81	1486	1324	59
15	0	1319	1365	4281	180	242	2962	2540	46
27	0	2903	2950	4708	87	43	1805	1675	47
29	0	3002	3069	5004	99	66	2002	1837	67
16	0	1342	1393	5095	204	388	3753	3161	51
33	0	3705	3795	5156	57	78	1451	1316	90
3	0	119	121	5768	403	703	5649	4543	2
34	0	3859	3938	6248	98	60	2389	2231	79
37	0	4096	4185	6294	81	37	2198	2080	89
17	0	1378	1422	6531	244	557	5153	4352	44
36	0	4022	4107	6933	109	123	2911	2679	85
14	0	1306	1351	7219	302	253	5913	5358	45
12	0	1075	1110	7587	314	447	6512	5751	35
30	0	3077	3145	8005	194	241	4928	4493	68
18	0	1386	1428	8053	316	383	6667	5968	42
26	0	2878	2940	8130	222	326	5252	4704	62
25	0	2759	2816	8282	221	380	5523	4922	57
35	0	3887	3967	8608	177	299	4721	4245	80
21	0	2360	2403	8688	274	467	6328	5587	43
28	0	2938	2988	8785	240	392	5847	5215	50
31	0	3378	3452	8809	255	42	5431	5134	74
50	0	5661	5778	8844	132	181	3183	2870	117
45	0	4625	4734	9017	194	192	4392	4006	109
47	0	5275	5385	9259	182	215	3984	3587	110
39	0	4214	4306	9330	232	234	5116	4650	92
46	0	5126	5244	9376	176	323	4250	3751	118
44	0	4536	4655	9501	232	380	4965	4353	119
48	0	5444	5561	9744	228	271	4300	3801	117
19	0	1458	1511	9881	448	579	8423	7396	53
0	0	0	0	10004	9929	0	10004	75	0
