id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	97	77	20	97	0	0
3	0	109	109	198	29	23	89	37	0
2	0	64	64	233	72	74	169	23	0
5	0	320	339	355	16	0	35	19	19
6	0	329	355	384	24	5	55	26	26
8	0	448	450	476	26	0	28	2	2
7	0	403	403	501	28	58	98	12	0
4	0	236	236	554	154	142	318	22	0
9	0	672	672	732	50	10	60	0	0
10	0	857	857	946	70	19	89	0	0
11	0	950	950	960	10	0	10	0	0
12	0	995	995	1064	60	9	69	0	0
13	0	1490	1490	1631	108	33	141	0	0
14	0	1651	1651	1702	45	6	51	0	0
15	0	1694	1702	1794	64	28	100	8	8
16	0	1744	1794	1936	55	87	192	50	50
17	0	1950	1950	2031	27	54	81	0	0
19	0	2167	2167	2279	65	23	112	24	0
18	0	2104	2104	2354	101	127	250	22	0
20	0	2741	2741	2792	40	11	51	0	0
21	0	2960	2960	3122	128	34	162	0	0
23	0	3248	3248	3278	30	0	30	0	0
25	0	3275	3343	3365	22	0	90	68	68
22	0	3155	3155	3405	103	84	250	63	0
24	0	3257	3278	3414	48	55	157	54	21
26	0	3524	3524	3627	57	46	103	0	0
28	0	3886	3938	4028	39	10	142	93	52
27	0	3856	3856	4218	200	82	362	80	0
30	0	4057	4117	4251	58	1	194	135	60
29	0	3995	4028	4257	95	25	262	142	33
31	0	4649	4649	4654	5	0	5	0	0
32	0	4661	4661	4686	25	0	25	0	0
33	0	4687	4687	4861	115	15	174	44	0
34	0	4727	4746	4882	34	18	155	103	19
37	0	4884	4885	5094	89	58	210	63	1
36	0	4778	4861	5110	44	76	332	212	83
38	0	5116	5116	5246	36	43	130	51	0
39	0	5237	5246	5429	137	46	192	9	9
40	0	5474	5474	5549	75	0	75	0	0
35	0	4744	4767	5626	314	250	882	318	23
42	0	5948	5948	6052	46	35	104	23	0
41	0	5659	5659	6063	77	325	404	2	0
43	0	6565	6565	6574	8	1	9	0	0
44	0	6719	6719	6758	22	17	39	0	0
45	0	6813	6813	6816	3	0	3	0	0
46	0	6909	6909	6992	16	67	83	0	0
47	0	7029	7029	7104	60	15	75	0	0
49	0	7345	7366	7395	11	18	50	21	21
48	0	7163	7163	7415	123	129	252	0	0
50	0	7685	7685	7722	32	5	37	0	0
0	0	0	0	7722	4549	0	7722	3173	0
