id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	405	420	1180	68	577	775	130	15
9	0	457	457	1279	50	714	822	58	0
10	0	907	907	1789	38	702	882	142	0
13	0	1289	1291	1808	31	441	519	47	2
7	0	350	368	1979	152	769	1629	708	18
24	0	2705	2835	2872	12	21	167	134	130
11	0	969	997	3138	202	1329	2169	638	28
6	0	312	337	3856	176	1942	3544	1426	25
23	0	2645	2653	4170	66	741	1525	718	8
4	0	208	208	4271	237	2366	4063	1460	0
37	0	4096	4099	4564	81	240	468	147	3
34	0	3859	3901	5095	98	400	1236	738	42
33	0	3705	3724	5208	57	508	1503	938	19
36	0	4022	4031	5522	109	806	1500	585	9
20	0	1675	1692	5896	115	3156	4221	950	17
16	0	1342	1343	6130	204	2559	4788	2025	1
1	0	0	0	6411	306	3081	6411	3024	0
2	0	39	39	6980	268	2212	6941	4461	0
29	0	3002	3022	7195	99	429	4193	3665	20
22	0	2591	2627	7361	81	531	4770	4158	36
30	0	3077	3114	7427	194	1562	4350	2594	37
3	0	119	119	7654	403	4627	7535	2505	0
35	0	3887	3931	7750	177	1962	3863	1724	44
17	0	1378	1445	7777	244	3680	6399	2475	67
44	0	4536	4605	7997	232	2507	3461	722	69
5	0	257	257	8215	203	2969	7958	4786	0
45	0	4625	4632	8436	194	1262	3811	2355	7
27	0	2903	2907	8452	87	283	5549	5179	4
28	0	2938	2959	8527	240	2577	5589	2772	21
31	0	3378	3399	8790	255	275	5412	4882	21
47	0	5275	5297	8823	182	1406	3548	1960	22
25	0	2759	2838	8859	221	2519	6100	3360	79
48	0	5444	5461	8930	228	1788	3486	1470	17
26	0	2878	2893	9005	222	2141	6127	3764	15
46	0	5126	5129	9189	176	2132	4063	1755	3
39	0	4214	4227	9257	232	1543	5043	3268	13
50	0	5661	5663	9318	132	1187	3657	2338	2
15	0	1319	1331	9451	180	1598	8132	6354	12
12	0	1075	1100	9745	314	2929	8670	5427	25
40	0	4234	4268	9906	372	2389	5672	2911	34
0	0	0	0	10004	8177	0	10004	1827	0
