id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	0	457	474	727	50	180	270	40	17
8	0	405	425	770	68	147	365	150	20
10	0	907	919	1732	38	177	825	610	12
13	0	1289	1295	2065	31	111	776	634	6
7	0	350	384	2284	152	196	1934	1586	34
2	0	39	39	2341	268	558	2302	1476	0
6	0	312	380	2387	176	491	2075	1408	68
4	0	208	216	2635	237	597	2427	1593	8
24	0	2705	2733	2780	12	6	75	57	28
20	0	1675	1696	3165	115	793	1490	582	21
23	0	2645	2677	3300	66	187	655	402	32
22	0	2591	2602	3313	81	135	722	506	11
33	0	3705	3714	4188	57	128	483	298	9
37	0	4096	4099	4257	81	61	161	19	3
34	0	3859	3878	4459	98	100	600	402	19
36	0	4022	4086	5168	109	204	1146	833	64
35	0	3887	3908	5842	177	494	1955	1284	21
29	0	3002	3034	6441	99	109	3439	3231	32
30	0	3077	3129	6605	194	396	3528	2938	52
28	0	2938	2943	7279	240	648	4341	3453	5
40	0	4234	4298	7539	372	608	3305	2325	64
17	0	1378	1446	7653	244	924	6275	5107	68
39	0	4214	4257	7778	232	388	3564	2944	43
5	0	257	257	7850	203	747	7593	6643	0
1	0	0	0	7856	306	778	7856	6772	0
48	0	5444	5466	7941	228	449	2497	1820	22
44	0	4536	4547	8026	232	630	3490	2628	11
47	0	5275	5285	8115	182	353	2840	2305	10
45	0	4625	4627	8413	194	317	3788	3277	2
46	0	5126	5128	8600	176	536	3474	2762	2
25	0	2759	2765	8684	221	633	5925	5071	6
27	0	2903	2933	8700	87	71	5797	5639	30
50	0	5661	5687	8811	132	299	3150	2719	26
26	0	2878	2881	8954	222	539	6076	5315	3
42	0	4442	4459	9472	575	1592	5030	2863	17
31	0	3378	3415	9642	255	70	6264	5939	37
15	0	1319	1320	9737	180	401	8418	7837	1
19	0	1458	1475	9742	448	955	8284	6881	17
18	0	1386	1466	9753	316	637	8367	7414	80
0	0	0	0	10004	9795	0	10004	209	0
