id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	0	405	420	1198	68	577	793	148	15
9	0	457	457	1277	50	714	820	56	0
7	0	350	368	1396	152	769	1046	125	18
10	0	907	907	1750	38	702	843	103	0
13	0	1289	1367	1855	31	441	566	94	78
11	0	969	1024	2667	202	1329	1698	167	55
24	0	2705	2722	2786	12	21	81	48	17
4	0	208	208	3070	237	2366	2862	259	0
15	0	1319	1340	3315	180	1598	1996	218	21
22	0	2591	2628	3330	81	531	739	127	37
2	0	39	39	3506	268	2212	3467	987	0
23	0	2645	2667	3541	66	741	896	89	22
6	0	312	337	3640	176	1942	3328	1210	25
29	0	3002	3020	3812	99	429	810	282	18
33	0	3705	3733	4331	57	508	626	61	28
1	0	0	0	4948	306	3081	4948	1561	0
20	0	1675	1703	5133	115	3156	3458	187	28
36	0	4022	4027	5162	109	806	1140	225	5
16	0	1342	2063	5163	204	2559	3821	1058	721
30	0	3077	3104	5672	194	1562	2595	839	27
3	0	119	119	6016	403	4627	5897	867	0
35	0	3887	3899	6371	177	1962	2484	345	12
28	0	2938	2959	6570	240	2577	3632	815	21
19	0	1458	1460	6761	448	3788	5303	1067	2
5	0	257	257	7226	203	2969	6969	3797	0
17	0	1378	1438	7576	244	3680	6198	2274	60
44	0	4536	4607	7621	232	2507	3085	346	71
47	0	5275	5289	7723	182	1406	2448	860	14
27	0	2903	2922	7916	87	283	5013	4643	19
40	0	4234	4235	7943	372	2389	3709	948	1
48	0	5444	5511	8082	228	1788	2638	622	67
34	0	3859	3925	8150	98	400	4291	3793	66
45	0	4625	6509	8199	194	1262	3574	2118	1884
25	0	2759	2764	8221	221	2519	5462	2722	5
39	0	4214	4529	8409	232	1543	4195	2420	315
37	0	4096	4098	8478	81	240	4382	4061	2
46	0	5126	5133	8483	176	2132	3357	1049	7
50	0	5661	5672	8595	132	1187	2934	1615	11
31	0	3378	3398	9151	255	275	5773	5243	20
18	0	1386	1396	9449	316	2519	8063	5228	10
26	0	2878	2879	9488	222	2141	6610	4247	1
12	0	1075	1127	9751	314	2929	8676	5433	52
0	0	0	0	10004	9406	0	10004	598	0
