id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	14	0	0	98	77	20	98	1	0
3	4	109	109	173	29	23	64	12	0
2	12	64	64	236	72	74	172	26	0
5	3	320	321	352	16	0	32	16	1
6	4	329	331	366	24	5	37	8	2
7	4	403	403	501	28	58	98	12	0
8	5	448	452	502	26	0	54	28	4
4	27	236	236	622	154	142	386	90	0
9	9	672	672	732	50	10	60	0	0
10	12	857	857	946	70	19	89	0	0
11	1	950	950	960	10	0	10	0	0
12	11	995	995	1064	60	9	69	0	0
13	19	1490	1490	1631	108	33	141	0	0
14	8	1651	1651	1706	45	6	55	4	0
15	11	1694	1696	1797	64	28	103	11	2
16	9	1744	1748	1890	55	87	146	4	4
17	4	1950	1950	2031	27	54	81	0	0
19	11	2167	2167	2279	65	23	112	24	0
18	16	2104	2104	2355	101	127	251	23	0
20	7	2741	2741	2792	40	11	51	0	0
21	25	2960	2960	3122	128	34	162	0	0
25	4	3275	3278	3320	22	0	45	23	3
23	5	3248	3248	3325	30	0	77	47	0
24	8	3257	3258	3406	48	55	149	46	1
22	18	3155	3155	3413	103	84	258	71	0
26	9	3524	3524	3627	57	46	103	0	0
28	6	3886	3886	3935	39	10	49	0	0
30	10	4057	4061	4124	58	1	67	8	4
29	17	3995	3998	4186	95	25	191	71	3
27	38	3856	3856	4330	200	82	474	192	0
31	0	4649	4649	4654	5	0	5	0	0
32	4	4661	4661	4686	25	0	25	0	0
34	6	4727	4727	4804	34	18	77	25	0
36	6	4778	4778	4944	44	76	166	46	0
37	15	4884	4887	5057	89	58	173	26	3
33	22	4687	4687	5088	115	15	401	271	0
38	5	5116	5116	5198	36	43	82	3	0
39	27	5237	5239	5424	137	46	187	4	2
40	14	5474	5474	5549	75	0	75	0	0
35	54	4744	4747	5729	314	250	985	421	3
42	7	5948	5948	6034	46	35	86	5	0
41	11	5659	5659	6065	77	325	406	4	0
43	1	6565	6565	6574	8	1	9	0	0
44	3	6719	6719	6758	22	17	39	0	0
45	0	6813	6813	6816	3	0	3	0	0
46	2	6909	6909	6992	16	67	83	0	0
47	10	7029	7029	7104	60	15	75	0	0
49	1	7345	7348	7377	11	18	32	3	3
48	20	7163	7163	7425	123	129	262	10	0
50	5	7685	7685	7722	32	5	37	0	0
0	0	0	0	7722	4549	0	7722	3173	0
