id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	0	110	110	201	8	83	91	0	0
3	0	261	262	285	19	0	24	5	1
1	0	0	0	1404	160	1185	1404	59	0
12	0	2165	2165	3611	129	320	1446	997	0
17	0	2712	2742	3693	42	478	981	461	30
19	0	2851	2897	3874	52	333	1023	638	46
5	0	883	883	3944	303	1418	3061	1340	0
10	0	1948	1957	4376	101	1299	2428	1028	9
26	0	3276	3321	5120	64	914	1844	866	45
22	0	3021	3053	5406	56	1605	2385	724	32
21	0	2972	3012	5466	121	1353	2494	1020	40
13	0	2198	2199	5917	200	1567	3719	1952	1
25	0	3222	3273	5971	92	1509	2749	1148	51
30	0	4263	4314	5987	56	932	1724	736	51
42	0	5913	6004	6095	7	0	182	175	91
31	0	4429	4482	6377	61	974	1948	913	53
23	0	3136	3178	6414	177	896	3278	2205	42
28	0	3846	3907	6440	157	575	2594	1862	61
14	0	2338	2367	6462	170	2094	4124	1860	29
50	0	6481	6595	6733	3	37	252	212	114
40	0	5813	5892	6786	27	413	973	533	79
37	0	5756	5806	6964	60	1	1208	1147	50
27	0	3615	3686	7040	106	1670	3425	1649	71
18	0	2726	2762	7215	176	1964	4489	2349	36
35	0	5494	5534	7219	51	748	1725	926	40
24	0	3147	3196	7263	184	1635	4116	2297	49
45	0	6157	6238	7455	23	771	1298	504	81
6	0	1039	1039	7460	343	3559	6421	2519	0
49	0	6464	6575	7521	44	93	1057	920	111
7	0	1123	1123	7955	409	3093	6832	3330	0
4	0	388	388	8135	503	3279	7747	3965	0
9	0	1937	1937	8408	357	2763	6471	3351	0
33	0	4966	5025	9511	208	2416	4545	1921	59
34	0	5483	5519	9598	238	1930	4115	1947	36
44	0	6130	6208	9673	168	1402	3543	1973	78
36	0	5694	5731	9963	230	1742	4269	2297	37
0	0	0	0	10000	1461	0	10000	8539	0
