id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
2	1	110	110	201	8	83	91	0	0
3	3	261	262	281	19	0	20	1	1
1	27	0	0	1492	160	1185	1492	147	0
12	23	2165	2165	2646	129	320	481	32	0
17	6	2712	2716	3337	42	478	625	105	4
19	8	2851	2854	3379	52	333	528	143	3
10	17	1948	1952	3986	101	1299	2038	638	4
26	10	3276	3279	4297	64	914	1021	43	3
21	21	2972	2973	4638	121	1353	1666	192	1
28	29	3846	3850	4769	157	575	923	191	4
22	9	3021	3024	4838	56	1605	1817	156	3
25	14	3222	3225	4964	92	1509	1742	141	3
23	32	3136	3136	5096	177	896	1960	887	0
14	23	2338	2338	5178	170	2094	2840	576	0
30	10	4263	4268	5261	56	932	998	10	5
24	30	3147	3149	5405	184	1635	2258	439	2
31	9	4429	4430	5477	61	974	1048	13	1
27	16	3615	3620	5541	106	1670	1926	150	5
18	29	2726	2726	5551	176	1964	2825	685	0
13	34	2198	2202	5717	200	1567	3519	1752	4
42	1	5913	5916	5923	7	0	10	3	3
37	11	5756	5758	5963	60	1	207	146	2
40	4	5813	5813	6294	27	413	481	41	0
35	9	5494	5497	6431	51	748	937	138	3
50	0	6481	6485	6529	3	37	48	8	4
49	8	6464	6465	6608	44	93	144	7	1
45	3	6157	6161	6957	23	771	800	6	4
34	41	5483	5487	8285	238	1930	2802	634	4
44	27	6130	6131	8429	168	1402	2299	729	1
33	35	4966	4971	8569	208	2416	3603	979	5
46	24	6266	6269	8648	146	2038	2382	198	3
36	41	5694	5695	8754	230	1742	3060	1088	1
39	28	5774	5778	9496	175	3368	3722	179	4
5	53	883	883	9611	303	1418	8728	7007	0
0	0	0	0	10002	5883	0	10002	4119	0
