id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
8	10	405	405	1122	68	577	717	72	0
9	8	457	457	1224	50	714	767	3	0
10	5	907	911	1662	38	702	755	15	4
13	5	1289	1292	1773	31	441	484	12	3
7	27	350	350	2023	152	769	1673	752	0
24	1	2705	2707	2744	12	21	39	6	2
22	15	2591	2591	3351	81	531	760	148	0
27	16	2903	2903	3357	87	283	454	84	0
23	9	2645	2648	3504	66	741	859	52	3
29	17	3002	3006	3798	99	429	796	268	4
33	9	3705	3706	4480	57	508	775	210	1
37	15	4096	4098	5083	81	240	987	666	2
20	17	1675	1677	5413	115	3156	3738	467	2
36	17	4022	4024	5503	109	806	1481	566	2
34	18	3859	3860	5516	98	400	1657	1159	1
50	22	5661	5662	7030	132	1187	1369	50	1
6	29	312	313	7294	176	1942	6982	4864	1
35	28	3887	3890	7726	177	1962	3839	1700	3
15	32	1319	1322	7744	180	1598	6425	4647	3
30	31	3077	3080	8008	194	1562	4931	3175	3
47	31	5275	5278	8064	182	1406	2789	1201	3
45	34	4625	4625	8213	194	1262	3588	2132	0
11	35	969	969	8407	202	1329	7438	5907	0
46	31	5126	5128	8517	176	2132	3391	1083	2
5	34	257	257	8669	203	2969	8412	5240	0
16	36	1342	1344	8715	204	2559	7373	4610	2
26	38	2878	2878	8774	222	2141	5896	3533	0
44	40	4536	4540	9023	232	2507	4487	1748	4
4	38	208	208	9058	237	2366	8850	6247	0
48	40	5444	5447	9128	228	1788	3684	1668	3
25	40	2759	2759	9140	221	2519	6381	3641	0
28	40	2938	2940	9219	240	2577	6281	3464	2
39	43	4214	4214	9265	232	1543	5051	3276	0
2	47	39	39	9612	268	2212	9573	7093	0
31	48	3378	3382	9660	255	275	6282	5752	4
14	53	1306	1307	9956	302	1654	8650	6694	1
12	53	1075	1079	9964	314	2929	8889	5646	4
18	53	1386	1389	9990	316	2519	8604	5769	3
0	0	0	0	10002	8236	0	10002	1766	0
