id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
9	8	457	461	631	50	109	174	15	4
8	10	405	406	671	68	89	266	109	1
10	5	907	907	1060	38	107	153	8	0
13	5	1289	1289	1430	31	67	141	43	0
20	17	1675	1678	2285	115	477	610	18	3
24	1	2705	2710	2727	12	4	22	6	5
22	15	2591	2593	2808	81	81	217	55	2
23	9	2645	2649	2839	66	113	194	15	4
27	16	2903	2908	3540	87	43	637	507	5
29	17	3002	3002	3559	99	66	557	392	0
33	9	3705	3706	3944	57	78	239	104	1
34	18	3859	3862	4126	98	60	267	109	3
37	15	4096	4098	4956	81	37	860	742	2
36	17	4022	4022	5110	109	123	1088	856	0
50	22	5661	5661	6063	132	181	402	89	0
7	27	350	354	6593	152	118	6243	5973	4
35	28	3887	3887	6869	177	299	2982	2506	0
6	29	312	312	6948	176	295	6636	6165	0
47	31	5275	5278	7471	182	215	2196	1799	3
30	31	3077	3078	7520	194	241	4443	4008	1
15	32	1319	1319	7555	180	242	6236	5814	0
46	31	5126	5130	7578	176	323	2452	1953	4
45	34	4625	4625	7913	194	192	3288	2902	0
5	34	257	259	8030	203	450	7773	7120	2
11	35	969	970	8133	202	202	7164	6760	1
16	36	1342	1346	8314	204	388	6972	6380	4
26	38	2878	2879	8493	222	326	5615	5067	1
4	38	208	210	8600	237	363	8392	7792	2
44	40	4536	4537	8751	232	380	4215	3603	1
48	40	5444	5446	8788	228	271	3344	2845	2
28	40	2938	2941	8806	240	392	5868	5236	3
25	40	2759	2760	8808	221	380	6049	5448	1
17	42	1378	1382	9046	244	557	7668	6867	4
39	43	4214	4215	9057	232	234	4843	4377	1
2	47	39	39	9428	268	338	9389	8783	0
21	47	2360	2363	9506	274	467	7146	6405	3
31	48	3378	3381	9510	255	42	6132	5835	3
1	51	0	0	9766	306	470	9766	8990	0
12	53	1075	1075	9856	314	447	8781	8020	0
14	53	1306	1309	9867	302	253	8561	8006	3
18	53	1386	1387	9905	316	383	8519	7820	1
0	0	0	0	10001	9790	0	10001	211	0
