id	priority	createdTime	startedTime	terminatedTime	cpuTime	blockedTime	turnaroundTime	waitingTime	responseTime
1	0	0	0	98	77	20	98	1	0
3	0	109	109	188	29	23	79	27	0
2	0	64	64	236	72	74	172	26	0
5	0	320	321	362	16	0	42	26	1
6	0	329	336	384	24	5	55	26	7
8	0	448	448	514	26	0	66	40	0
7	0	403	403	526	28	58	123	37	0
4	0	236	236	609	154	142	373	77	0
9	0	672	672	732	50	10	60	0	0
10	0	857	857	946	70	19	89	0	0
11	0	950	950	960	10	0	10	0	0
12	0	995	995	1064	60	9	69	0	0
13	0	1490	1490	1631	108	33	141	0	0
14	0	1651	1651	1706	45	6	55	4	0
15	0	1694	1696	1797	64	28	103	11	2
16	0	1744	1748	1895	55	87	151	9	4
17	0	1950	1950	2031	27	54	81	0	0
19	0	2167	2167	2279	65	23	112	24	0
18	0	2104	2104	2355	101	127	251	23	0
20	0	2741	2741	2792	40	11	51	0	0
21	0	2960	2960	3122	128	34	162	0	0
23	0	3248	3248	3318	30	0	70	40	0
25	0	3275	3288	3360	22	0	85	63	13
22	0	3155	3155	3407	103	84	252	65	0
24	0	3257	3258	3426	48	55	169	66	1
26	0	3524	3524	3627	57	46	103	0	0
28	0	3886	3886	3965	39	10	79	30	0
30	0	4057	4066	4197	58	1	140	81	9
29	0	3995	3998	4236	95	25	241	121	3
27	0	3856	3856	4264	200	82	408	126	0
31	0	4649	4649	4654	5	0	5	0	0
32	0	4661	4661	4686	25	0	25	0	0
34	0	4727	4727	4838	34	18	111	59	0
33	0	4687	4687	4942	115	15	255	125	0
36	0	4778	4782	4983	44	76	205	85	4
37	0	4884	4894	5118	89	58	234	87	10
38	0	5116	5122	5218	36	43	102	23	6
39	0	5237	5238	5510	137	46	273	90	1
40	0	5474	5474	5589	75	0	115	40	0
35	0	4744	4752	5606	314	250	862	298	8
42	0	5948	5948	6034	46	35	86	5	0
41	0	5659	5659	6065	77	325	406	4	0
43	0	6565	6565	6574	8	1	9	0	0
44	0	6719	6719	6758	22	17	39	0	0
45	0	6813	6813	6816	3	0	3	0	0
46	0	6909	6909	6992	16	67	83	0	0
47	0	7029	7029	7104	60	15	75	0	0
49	0	7345	7348	7382	11	18	37	8	3
48	0	7163	7163	7425	123	129	262	10	0
50	0	7685	7685	7722	32	5	37	0	0
0	0	0	0	7722	4549	0	7722	3173	0
